Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;779882;45.909999847412;56.875553722765;46.187835693359;0;1737728850;0.0088673017257726;0;592046;0;0.3669698164425;42.748593116558;146606.0409585;0;0;1737728804;0;0;
ip-10-0-2-49;_ALL;_ALL;0;779882;45.909999847412;56.875553722765;46.187835693359;0;1737728850;0.0088673017257726;0;592046;0;0.3669698164425;42.748593116558;146606.0409585;0;0;1737728804;0;0;
ip-10-0-2-49;9926;_ALL;0;779882;45.909999847412;56.875553722765;46.187835693359;0;1737728850;0.0088673017257726;0;592046;0;0.3669698164425;42.748593116558;146606.0409585;0;0;1737728804;0;0;
ip-10-0-2-49;9926;9953;32.272346496582;778309;45.830043792725;56.753159889958;46.115665435791;0;1737728850;0;0;662643;0;0.42548505823317;42.821285177577;9166.0087341066;14.744285583496;0;1737728804;0;0;
ip-10-0-2-49;9926;9949;46.110137939453;778316;45.835021972656;56.77972264477;46.115840911865;0;1737728850;0.010908689380962;0;662475;0;0.41453012666008;42.794797253659;9167.0040742497;12.521604537964;0;1737728804;0;0;
ip-10-0-2-49;9926;9951;32.233406066895;778303;45.750053405762;55.792294353904;46.115745544434;0;1737728850;0.010928949348007;0;662557;0;0.15300530835863;44.043644482067;9150.0103821267;13.067141532898;0;1737728804;0;0;
ip-10-0-2-49;9926;9926;46.111106872559;779882;45.775024414063;57.542296449901;46.187835693359;0;1737728850;0.021845975572107;0;592046;0;0.3932274685437;42.042596567633;9155.0042862523;7.757061958313;0;1737728804;0;0;
ip-10-0-2-49;9926;9948;46.079418182373;778301;45.869998931885;56.605629497384;46.115882873535;0;1737728850;0.021800742868714;0;662417;0;0.52321772202418;42.849364536241;9173.9993083916;14.150992393494;0;1737728804;0;0;
ip-10-0-2-49;9926;9947;33.322242736816;778307;45.684967041016;57.644786307698;46.115940093994;0;1737728850;0.021889039100507;0;662367;0;0.021889039100507;42.311535665742;9136.9931353163;13.034035682678;0;1737728804;0;0;
ip-10-0-2-49;9926;9954;46.105503082275;778307;45.890003204346;56.341243995056;46.115619659424;0;1737728850;0.010895619569013;0;662688;0;0.57746768243801;43.070386346355;9178.000330004;32.724529266357;0;1737728804;0;0;
ip-10-0-2-49;9926;9955;46.109809875488;778310;45.780025482178;56.640420226961;46.115585327148;0;1737728850;0.010921794495082;0;662726;0;0.19659230091148;43.152029174365;9156.0045416554;17.642166137695;0;1737728804;0;0;
ip-10-0-2-49;9926;9956;34.053424835205;778294;45.825000762939;56.464813010073;46.115524291992;0;1737728850;0;0;662770;0;0.36006543991296;43.175155828663;9165.0002866035;29.764209747314;0;1737728804;0;0;
ip-10-0-2-49;9926;9950;46.106464385986;778316;45.825016021729;57.163101554925;46.115798950195;0;1737728850;0;0;662516;0;0.32733210275173;42.509540240539;9165.0027442335;26.017177581787;0;1737728804;0;0;
ip-10-0-2-49;9926;9952;46.086563110352;778317;45.909999847412;56.872141697995;46.115715026855;0;1737728850;0;0;662602;0;0.58810701684299;42.539768198895;9181.9997131965;25.011377334595;0;1737728804;0;0;
ip-10-0-2-49;9926;9960;46.107666015625;778291;45.810001373291;56.494208864206;46.115352630615;0;1737728850;0.010914647052318;0;662940;0;0.36018329596965;43.134703697157;9162.0003396041;22.475858688354;0;1737728804;0;0;
ip-10-0-2-49;9926;9961;46.108348846436;778302;45.73999786377;57.105379043607;46.115325927734;0;1737728850;0;0;662977;0;0.27328379894255;42.621349352615;9147.9992215905;16.311370849609;0;1737728804;0;0;
ip-10-0-2-49;9926;9959;33.335262298584;778318;45.835048675537;57.34694609797;46.115417480469;0;1737728850;0.02181736511395;0;662900;0;0.3708951567566;42.26026072474;9167.0098087197;27.18158531189;0;1737728804;0;0;
ip-10-0-2-49;9926;9958;46.105716705322;778316;45.840007781982;57.744318093986;46.115463256836;0;1737728850;0;0;662853;0;0.4581150630108;41.797567189866;9168.0010528128;14.590470314026;0;1737728804;0;0;
ip-10-0-2-49;9926;9957;46.081356048584;778316;45.830017089844;56.720467449149;46.115501403809;0;1737728850;0;0;662814;0;0.42548530478874;42.854025111826;9166.0029996366;11.325753211975;0;1737728804;0;0;
